,manufacturer,model_name,variant_name,manufacturing_year,showroom_price,fuel_type,engine_capacity_cc,body_type,seating_capacity,transmission,power_bhp,torque_nm,mileage_kmpl,safety_rating,features
42,Maserati,Levante,Levante,2025,₹1.49 - 1.64 Cr,Diesel/Petrol,2987.0,SUV,5.0,,350 bhp,,12 kmpl,,"Luxury interior, Advanced infotainment system, All-wheel drive, Multiple driving modes"
43,Maserati,Ghibli,Ghibli,2025,₹1.15 - 1.93 Cr,Petrol,3799.0,Sedan,5.0,,572.06 bhp,,6 kmpl,,"Luxury interior, High-performance engine, Advanced safety features, Infotainment system"
44,Maserati,Grecale,Grecale,2025,₹1.31 - 2.05 Cr,Petrol,3000.0,SUV,5.0,,523 bhp,,9.2 kmpl,,"Sporty design, Advanced technology, Comfortable seating, High performance"
45,Maserati,GranTurismo,GranTurismo,2025,₹2.25 - 2.51 Cr,Diesel/Petrol,4691.0,Coupe,4.0,,460 bhp,,10 kmpl,,"Luxury coupe design, High-performance engine, Advanced safety features, Premium interior"
46,Maserati,Quattroporte,Quattroporte,2025,₹1.71 - 1.86 Cr,Diesel/Petrol,2999.0,Sedan,5.0,,430 bhp,,11.76 kmpl,5 Star,"Luxury sedan design, Advanced technology, Comfortable seating, High performance"
47,Maserati,GranCabrio,GranCabrio,2025,₹2.46 - 2.69 Cr,Diesel/Petrol,4691.0,Convertible,4.0,,460 bhp,,10.2 kmpl,,"Luxury convertible design, High-performance engine, Advanced safety features, Premium interior"
48,PMV,EaS E,EaS E,2025,₹4.79 Lakh,Electric,10000.0,Hatchback,2.0,Automatic,13.41 bhp,,,4 Star,"Electric vehicle, Compact design, Affordable pricing, Good safety rating, Suitable for urban commuting"
49,Mini,Cooper 3 DOOR,Cooper 3 DOOR,2025,₹42.70 Lakh,Petrol,1998.0,Hatchback,5.0,Automatic,189.08 bhp,320 Nm,17.33 kmpl,4 Star,"5 Seats, 17.33 kmpl, 1998 cc, 189.08 bhp, 4 Star Safety"
50,Mini,Cooper S,Cooper S,2025,₹44.90 - 55.90 Lakh,Petrol,1998.0,Hatchback,5.0,Automatic,201 bhp,280 Nm,15 kmpl,5 Star,"5 Seats, 15 kmpl, 1998 cc, 201 bhp, 5 Star Safety"
51,Mini,Cooper Countryman,Cooper Countryman,2025,₹48.10 - 49 Lakh,Petrol,1998.0,SUV,5.0,Automatic,189.08 bhp,320 Nm,14.34 kmpl,4 Star,"5 Seats, 14.34 kmpl, 1998 cc, 189.08 bhp, 4 Star Safety"
52,Mini,Cooper SE,Cooper SE,2025,₹53.50 Lakh,Electric,0.0,Hatchback,4.0,Automatic,181.03 bhp,270 Nm,,4 Star,"4 Seats, 270 km, 32.6 kWh, 181.03 bhp, 4 Star Safety"
53,Mini,Countryman Electric,Countryman Electric,2025,₹54.90 Lakh,Electric,0.0,SUV,5.0,Automatic,313 bhp,400 Nm,,,"5 Seats, 462 km, 66.4 kWh, 313 bhp, N/A"
54,Porsche,911,911,2025,₹2.11 - 4.06 Cr,Petrol,3996.0,Coupe,4.0,Automatic,641,,10.64,,Facelift
55,Porsche,Cayenne,Cayenne,2025,₹1.49 - 2.08 Cr,Petrol,2894.0,SUV,4.0,Automatic,348.66,,10.8,,Facelift
56,Porsche,Macan,Macan,2025,₹96.05 Lakh,Petrol,1984.0,SUV,5.0,Automatic,261.49,,6.1,,Facelift
57,Porsche,Taycan,Taycan,2025,₹1.70 - 2.69 Cr,Electric,93400.0,Sedan,5.0,Automatic,872,,,,705 km range
58,Porsche,Panamera,Panamera,2025,₹1.80 - 2.47 Cr,Petrol,3996.0,Sedan,4.0,Automatic,670.51,,20,,Facelift
59,Porsche,Macan EV,Macan EV,2025,₹1.22 - 1.69 Cr,Electric,100000.0,SUV,5.0,Automatic,608,,,,624 km range
60,Porsche,Cayenne Coupe,Cayenne Coupe,2025,₹1.55 - 2.09 Cr,Petrol,3996.0,Coupe,4.0,Automatic,493,,8,,Facelift
61,Strom Motors,R3,R3,2025,₹4.50 Lakh,Electric,30.0,Hatchback,2.0,Automatic,20.11 bhp,,,,"Eco-friendly solution, Smart urban mobility, Compact design, Air Conditioner"
62,Vayve Mobility,Eva,Nova,2025,₹3.25 Lakh,Electric,18.0,Hatchback,3.0,Automatic,20.11 bhp,,,,"Smart Connectivity, Keyless Entry (available in mid and top variants), Halogen Headlights (base variant)"
63,Vayve Mobility,Eva,Stella,2025,₹3.25 - 4.49 Lakh,Electric,18.0,Hatchback,3.0,Automatic,20.11 bhp,,,,"Smart Connectivity, Keyless Entry (available in mid and top variants), Halogen Headlights (base variant)"
64,Vayve Mobility,Eva,Vega,2025,₹3.25 - 4.49 Lakh,Electric,18.0,Hatchback,3.0,Automatic,20.11 bhp,,,,"Smart Connectivity, Keyless Entry (available in mid and top variants), Halogen Headlights (base variant)"
65,Volvo,XC90,XC90,2025,₹1.04 Cr,Petrol,1969.0,SUV,7.0,Automatic,247 bhp,400 Nm,12.35 kmpl,5 Star,"Advanced safety features, Mild-hybrid powertrain, Luxurious interior, Spacious seating"
66,Volvo,XC60,XC60,2025,₹70.75 Lakh,Petrol,1969.0,SUV,5.0,Automatic,250 bhp,400 Nm,11.2 kmpl,5 Star,"5 Star Safety Rating, Luxurious interior, Advanced safety features, Powerful engine"
67,Volvo,EC40,EC40,2025,₹59 Lakh,Electric,0.0,SUV,5.0,Automatic,402.3 bhp,660 Nm,,,"Electric powertrain, 530 km range, Advanced safety features, Luxurious interior"
68,Volvo,EX40,EX40,2025,₹49 - 57.90 Lakh,Electric,0.0,SUV,5.0,Automatic,408 bhp,660 Nm,,,"Electric powertrain, 592 km range, Advanced safety features, Luxurious interior"
69,Bajaj,Qute,Bajaj Qute,2025,₹3.61 Lakh,CNG,216.0,Hatchback,4.0,Manual,10.83 bhp,10.83 bhp,,1 Star,"Compact design for urban use, Affordable pricing, CNG fuel type, Suitable for personal and commercial use"
70,Aston Martin,Vantage,Vantage,2025,₹3.99 Cr,Petrol,3998.0,Coupe,2.0,Automatic,656 bhp,800 Nm,7 kmpl,,"Luxury interior, Advanced infotainment system, High-performance engine"
71,Aston Martin,DB12,DB12,2025,₹4.59 Cr,Petrol,3982.0,Coupe,2.0,Automatic,670.69 bhp,,10 kmpl,,"Luxurious design, Powerful V8 engine, Cutting-edge technology"
72,Aston Martin,DBX,DBX,2025,₹3.82 - 4.63 Cr,Petrol,3982.0,SUV,5.0,Automatic,697 bhp,,8 kmpl,,"Spacious interior, All-terrain capability, Advanced safety features"
73,Aston Martin,Vanquish,Vanquish,2025,₹8.85 Cr,Petrol,5203.0,Coupe,2.0,Automatic,824 bhp,,,,"High-performance V12 engine, Luxurious craftsmanship, Exceptional handling"
74,Citroen,C3,C3,2025,₹6.23 - 10.21 Lakh,Petrol/CNG,1199.0,Hatchback,5.0,Manual/Automatic,108.62,,19.3,,"Hatchback, 5 Seats, Manual/Automatic Transmission, Petrol/CNG Fuel Type, 19.3 kmpl Mileage"
75,Citroen,Basalt,Basalt,2025,₹8.32 - 14.10 Lakh,Petrol,1199.0,Hatchback,5.0,Manual/Automatic,109,,19.5,,"Hatchback, 5 Seats, Manual/Automatic Transmission, Petrol Fuel Type, 19.5 kmpl Mileage"
76,Citroen,Aircross,Aircross,2025,₹8.62 - 14.60 Lakh,Petrol,1199.0,SUV,5.0,Manual/Automatic,108.62,,18.5,,"SUV, 5, 7 Seats, Manual/Automatic Transmission, Petrol Fuel Type, 18.5 kmpl Mileage"
77,Citroen,C5 Aircross,C5 Aircross,2025,₹39.99 Lakh,Diesel,1997.0,SUV,5.0,Automatic,174.33,,17.5,,"SUV, 5 Seats, Automatic Transmission, Diesel Fuel Type, 17.5 kmpl Mileage"
78,Citroen,eC3,eC3,2025,₹12.90 - 13.41 Lakh,Electric,320.0,Hatchback,5.0,Automatic,56.21,,,,"Hatchback, 5 Seats, Automatic Transmission, Electric Fuel Type, 320 km Range"
79,Volkswagen,Virtus,Virtus,2025,₹11.56 - 19.40 Lakh,Petrol,1498.0,Sedan,5.0,Manual/Automatic,147.51 bhp,250 Nm,20.8 kmpl,5 Star,"5 Star Safety Rating, 20.8 kmpl Mileage, 1498 cc Engine, 147.51 bhp Power"
80,Volkswagen,Taigun,Taigun,2025,₹11.80 - 19.83 Lakh,Petrol,1498.0,SUV,5.0,Manual/Automatic,147.94 bhp,250 Nm,19.87 kmpl,5 Star,"5 Star Safety Rating, 19.87 kmpl Mileage, 1498 cc Engine, 147.94 bhp Power"
81,Volkswagen,Golf GTI,Golf GTI,2025,₹53 Lakh,Petrol,1984.0,Hatchback,5.0,Automatic,261 bhp,370 Nm,,,"261 bhp Power, 1984 cc Engine, 5 Seats"
82,Volkswagen,Tiguan R-Line,Tiguan R-Line,2025,₹49 Lakh,Petrol,1984.0,SUV,5.0,Automatic,201 bhp,320 Nm,12.58 kmpl,,"201 bhp Power, 1984 cc Engine, 12.58 kmpl Mileage, 5 Seats"
83,Nissan,Magnite,Magnite,2025,₹6.14 - 11.76 Lakh,Petrol/CNG,999.0,SUV,5.0,Manual/Automatic,99 bhp,99 Nm,19.9 kmpl,5 Star,"Nissan Connect feature, 360-degree camera, Wireless Apple CarPlay/Android Auto, Digital instrument cluster, LED headlamps, Push button start, Wireless charging"
84,Nissan,X-Trail,X-Trail,2025,₹49.92 Lakh,Petrol,1498.0,SUV,7.0,Automatic,161 bhp,,10 kmpl,,"Leather seats, 360-degree camera, Advanced safety features, Comfortable interior, High power output"
85,Jeep,Compass,Base,2025,₹18.99 - 32.41 Lakh,Diesel/Petrol,1956.0,SUV,5.0,Manual/Automatic,168 bhp,350 Nm,17.1,5 Star,"5-seater, Off-road capabilities, Advanced safety features"
86,Jeep,Meridian,Base,2025,₹24.99 - 38.79 Lakh,Diesel/Petrol,1956.0,SUV,5.0,Manual/Automatic,168 bhp,350 Nm,14.1,5 Star,"5-seater, Advanced safety features, Comfortable interior"
87,Jeep,Wrangler,Base,2025,₹67.65 - 71.65 Lakh,Petrol,1995.0,SUV,5.0,Automatic,268.2 bhp,400 Nm,11.4,5 Star,"5-seater, Off-road capabilities, Luxury interior"
88,Jeep,Grand Cherokee,Base,2025,₹67.50 - 69.04 Lakh,Petrol,1995.0,SUV,5.0,Automatic,268.27 bhp,400 Nm,7.2,5 Star,"5-seater, Luxury features, Advanced safety features"
89,Renault,Triber,Authentic,2025,₹6.30 Lakh - ₹9.40 Lakh,Petrol,999.0,MUV,7.0,Manual/Automatic,71.01 bhp,,20 kmpl,,"7 Seats, Petrol, 20 kmpl, Manual/Automatic, 999 cc, 71.01 bhp"
92,Skoda,Kylaq,Base,2025,₹8.25 - 13.99 Lakh,Petrol,999.0,SUV,5.0,Manual/Automatic,114,,19.68,,"5 Seats, Manual/Automatic Transmission, 19.68 kmpl Mileage"
93,Skoda,Slavia,Base,2025,₹10.49 - 18.33 Lakh,Petrol,1498.0,Sedan,5.0,Manual/Automatic,147.51,,20.32,5 Star,"5 Seats, Manual/Automatic Transmission, 20.32 kmpl Mileage, 5 Star Safety Rating"
94,Skoda,Kushaq,Base,2025,₹10.99 - 19.09 Lakh,Petrol,1498.0,SUV,5.0,Manual/Automatic,147.51,,19.76,5 Star,"5 Seats, Manual/Automatic Transmission, 19.76 kmpl Mileage, 5 Star Safety Rating"
95,Skoda,Kodiaq,Base,2025,₹46.89 - 48.69 Lakh,Petrol,1984.0,SUV,7.0,Automatic,201,,14.86,,"7 Seats, Automatic Transmission, 14.86 kmpl Mileage"
96,Hyundai,Creta,Creta,2025,₹11.11 - 20.50 Lakh,Diesel/Petrol,1497.0,SUV,5.0,Manual/Automatic,157.57 bhp,157.57 Nm,21.8 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
97,Hyundai,Venue,Venue,2025,₹7.94 - 13.62 Lakh,Diesel/Petrol,1493.0,SUV,5.0,Manual/Automatic,118 bhp,118 Nm,24.2 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
98,Hyundai,Verna,Verna,2025,₹11.07 - 17.58 Lakh,Petrol,1497.0,Sedan,5.0,Manual/Automatic,157.57 bhp,157.57 Nm,20.6 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
99,Hyundai,i20,i20,2025,₹7.51 - 11.25 Lakh,Petrol,1197.0,Hatchback,5.0,Manual/Automatic,87 bhp,87 Nm,20 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
100,Hyundai,Exter,Exter,2025,₹6 - 10.51 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,81.8 bhp,81.8 Nm,19.4 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
101,Hyundai,Aura,Aura,2025,₹6.54 - 9.11 Lakh,Petrol/CNG,1197.0,Sedan,5.0,Manual/Automatic,82 bhp,82 Nm,17 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
102,Hyundai,Alcazar,Alcazar,2025,₹14.99 - 21.74 Lakh,Diesel/Petrol,1493.0,SUV,6.0,Manual/Automatic,158 bhp,158 Nm,20.4 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
103,Hyundai,Tucson,Tucson,2025,₹29.27 - 36.04 Lakh,Diesel/Petrol,1999.0,SUV,5.0,Automatic,183.72 bhp,183.72 Nm,18 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
104,Hyundai,Creta Electric,Creta Electric,2025,₹17.99 - 24.38 Lakh,Electric,0.0,SUV,5.0,Automatic,169 bhp,,,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
105,Hyundai,Creta N Line,Creta N Line,2025,₹16.93 - 20.64 Lakh,Petrol,1482.0,SUV,5.0,Manual/Automatic,158 bhp,158 Nm,18.2 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
106,Hyundai,Venue N Line,Venue N Line,2025,₹12.15 - 14 Lakh,Petrol,998.0,SUV,5.0,Manual/Automatic,118.41 bhp,118.41 Nm,18 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
107,Hyundai,Grand i10 Nios,Grand i10 Nios,2025,₹5.98 - 8.62 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,82 bhp,82 Nm,18 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
108,Hyundai,i20 N-Line,i20 N-Line,2025,₹9.99 - 12.56 Lakh,Petrol,998.0,Hatchback,5.0,Manual/Automatic,118 bhp,118 Nm,20 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
109,Hyundai,IONIQ 5,IONIQ 5,2025,₹46.05 Lakh,Electric,0.0,SUV,5.0,Automatic,214.56 bhp,,,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
110,Tata,Nexon,Nexon,2025,₹8 - 15.60 Lakh,Diesel/Petrol/CNG,1497.0,SUV,5.0,Manual/Automatic,118.27 bhp,118.27 Nm,24.08 kmpl,5 Star,"Diesel/Petrol/CNG, 24.08 kmpl, Manual/Automatic, 1497 cc, 118.27 bhp, 5 Star Safety"
111,Tata,Punch,Punch,2025,₹6 - 10.32 Lakh,Petrol/CNG,1199.0,SUV,5.0,Manual/Automatic,87 bhp,87 Nm,20.09 kmpl,5 Star,"Petrol/CNG, 20.09 kmpl, Manual/Automatic, 1199 cc, 87 bhp, 5 Star Safety"
112,Tata,Altroz,Altroz,2025,₹6.89 - 11.49 Lakh,Diesel/Petrol/CNG,1497.0,Hatchback,5.0,Manual/Automatic,88.76 bhp,88.76 Nm,,5 Star,"Diesel/Petrol/CNG, Manual/Automatic, 1497 cc, 88.76 bhp, 5 Seats"
113,Tata,Curvv,Curvv,2025,₹10 - 19.52 Lakh,Diesel/Petrol,1497.0,SUV,5.0,Manual/Automatic,123 bhp,,12 kmpl,5 Star,"Diesel/Petrol, 12 kmpl, Manual/Automatic, 1497 cc, 123 bhp, 5 Star Safety"
114,Tata,Harrier,Harrier,2025,₹15 - 26.50 Lakh,Diesel,1956.0,SUV,5.0,Manual/Automatic,167.62 bhp,,16.8 kmpl,5 Star,"Diesel, 16.8 kmpl, Manual/Automatic, 1956 cc, 167.62 bhp, 5 Star Safety"
115,Tata,Tiago,Tiago,2025,₹5 - 8.55 Lakh,Petrol/CNG,1199.0,Hatchback,5.0,Manual/Automatic,84.82 bhp,84.82 Nm,19.01 kmpl,4 Star,"Petrol/CNG, 19.01 kmpl, Manual/Automatic, 1199 cc, 84.82 bhp, 4 Star Safety"
116,Tata,Harrier EV,Harrier EV,2025,₹21.49 - 30.23 Lakh,Electric,0.0,SUV,5.0,Automatic,390 bhp,,,6 Airbags,"Electric, Automatic, 627 km, 75 kWh, 390 bhp, 6 Airbags, 5 Seats"
117,Tata,Safari,Safari,2025,₹15.50 - 27.25 Lakh,Diesel,1956.0,SUV,5.0,Manual/Automatic,167.62 bhp,,16.3 kmpl,5 Star,"Diesel, 16.3 kmpl, Manual/Automatic, 1956 cc, 167.62 bhp, 5 Star Safety"
118,Tata,Nexon EV,Nexon EV,2025,₹12.49 - 17.19 Lakh,Electric,0.0,SUV,5.0,Automatic,142 bhp,,,6 Airbags,"Electric, Automatic, 489 km, 46.08 kWh, 142 bhp, 6 Airbags, 5 Star Safety"
119,Tata,Punch EV,Punch EV,2025,₹9.99 - 14.44 Lakh,Electric,0.0,SUV,5.0,Automatic,120.69 bhp,,,6 Airbags,"Electric, Automatic, 421 km, 35 kWh, 120.69 bhp, 6 Airbags, 5 Star Safety"
120,Tata,Tiago EV,Tiago EV,2025,₹7.99 - 11.14 Lakh,Electric,0.0,Hatchback,5.0,Automatic,73.75 bhp,,,2 Airbags,"Electric, Automatic, 315 km, 24 kWh, 73.75 bhp, 2 Airbags, 4 Star Safety"
121,Tata,Tigor,Tigor,2025,₹6 - 9.50 Lakh,Petrol/CNG,1199.0,Sedan,5.0,Manual,84.48 bhp,84.48 Nm,19.28 kmpl,3 Star,"Petrol/CNG, 19.28 kmpl, Manual, 1199 cc, 84.48 bhp, 3 Star Safety"
122,Tata,Curvv EV,Curvv EV,2025,₹17.49 - 22.24 Lakh,Electric,0.0,SUV,5.0,Automatic,165 bhp,,,6 Airbags,"Electric, Automatic, 502 km, 55 kWh, 165 bhp, 6 Airbags, 5 Star Safety"
