manufacturer,model_name,variant_name,manufacturing_year,showroom_price,fuel_type,engine_capacity_cc,body_type,seating_capacity,transmission,power_bhp,torque_nm,mileage_kmpl,safety_rating,features
Isuzu,D-Max,D-Max,2025,₹12.15 - 12.60 Lakh,Diesel,2499,Pickup Truck,2,Manual,77.77,N/A,12,N/A,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
Isuzu,MU-X,MU-X,2025,₹37 - 40.70 Lakh,Diesel,1898,SUV,7,Automatic,160.92,N/A,13,N/A,"6 Airbags, Hill Descent Control, Traction Control"
Isuzu,V-Cross,V-Cross,2025,₹26 - 31.46 Lakh,Diesel,1898,Pickup Truck,5,Manual/Automatic,160.92,N/A,12.4,N/A,"Alloy Wheels, Touchscreen Infotainment, Rear Parking Sensors"
Isuzu,S-CAB,S-CAB,2025,₹14.20 Lakh,Diesel,2499,Pickup Truck,5,Manual,77.77,N/A,16.56,N/A,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
Isuzu,S-CAB Z,S-CAB Z,2025,₹16.30 Lakh,Diesel,2499,Pickup Truck,5,Manual,77.77,N/A,N/A,N/A,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
Isuzu,Hi-Lander,Hi-Lander,2025,₹21.80 Lakh,Diesel,1898,Pickup Truck,5,Manual,160.92,N/A,12.4,N/A,"Power Steering, Power Windows, Anti-lock Braking System (ABS)"
Lexus,ES,Standard,2025,₹64 - 69.70 Lakh,Petrol,2487,Sedan,5,Automatic,175.67,N/A,18,N/A,"Luxury interior, Advanced safety features, High fuel efficiency"
Lexus,LM,Standard,2025,₹2.10 - 2.62 Cr,Petrol,2487,MUV,4,Automatic,190.42,N/A,N/A,N/A,"Spacious interior, Luxury features, Advanced technology"
Lexus,RX,Standard,2025,₹95.80 Lakh - 1.20 Cr,Petrol,2487,SUV,5,Automatic,268,N/A,N/A,N/A,"Sporty design, Advanced safety features, High performance"
Lexus,LX,Standard,2025,₹2.84 - 3.12 Cr,Petrol,3346,SUV,5,Automatic,304.41,N/A,5,N/A,"Luxury interior, Off-road capability, Advanced technology"
Lexus,NX,Standard,2025,₹68.02 - 74.98 Lakh,Petrol,2487,SUV,5,Automatic,187.74,N/A,9.5,N/A,"Stylish design, Advanced safety features, High fuel efficiency"
Ferrari,SF90 Stradale,SF90 Stradale,2025,₹7.50 Cr,Petrol,3990,Coupe,2,Automatic,986 bhp,800 Nm,18 kmpl,N/A,"Hybrid powertrain, Advanced aerodynamics, All-wheel drive, Adaptive suspension, High-performance brakes"
Ferrari,F8 Tributo,F8 Tributo,2025,₹4.02 Cr,Petrol,3902,Coupe,2,Automatic,710.74 bhp,770 Nm,5.8 kmpl,N/A,"Turbocharged V8 engine, Aerodynamic design, Advanced infotainment system, High-performance tires, LED headlights"
Ferrari,Roma,Roma,2025,₹3.76 Cr,Petrol,3855,Coupe,2,Automatic,611.5 bhp,760 Nm,6 kmpl,N/A,"Elegant design, Comfortable interior, Advanced safety features, Powerful engine, Infotainment system"
Ferrari,296 GTB,296 GTB,2025,₹5.40 Cr,Petrol,2992,Coupe,2,Automatic,818 bhp,740 Nm,15.62 kmpl,N/A,"Hybrid technology, High-performance engine, Luxurious interior, Advanced driver assistance, Sporty handling"
Ferrari,812,812,2025,₹5.75 Cr,Petrol,6496,Coupe,2,Automatic,788.52 bhp,718 Nm,5.5 kmpl,N/A,"V12 engine, Exceptional performance, Luxurious features, Advanced aerodynamics, High-tech infotainment"
Land Rover,Defender,Defender,2025,₹1.05 - 2.79 Cr,Diesel/Petrol,5000,SUV,5,Not specified,626 bhp,Not specified,14.01 kmpl,5 Star,"Luxury SUV, Off-road capability, High safety ratings"
Land Rover,Range Rover,Range Rover,2025,₹2.48 - 2.75 Cr,Diesel/Petrol,2997,SUV,5,Not specified,394 bhp,Not specified,13.16 kmpl,5 Star,"Luxury SUV, High performance, Advanced technology"
Land Rover,Range Rover Velar,Range Rover Velar,2025,₹84.90 - 89.90 Lakh,Diesel/Petrol,1997,SUV,5,Not specified,183.9 bhp,Not specified,15.8 kmpl,5 Star,"Luxury SUV, Stylish design, Advanced safety features"
Land Rover,Range Rover Sport,Range Rover Sport,2025,₹1.48 Cr,Diesel/Petrol,2998,SUV,5,Not specified,345.98 bhp,Not specified,Not specified,Not specified,"Sporty design, High performance, Luxury features"
Land Rover,Range Rover Evoque,Range Rover Evoque,2025,₹69.50 Lakh,Diesel/Petrol,1997,SUV,5,Not specified,247 bhp,Not specified,12.82 kmpl,Not specified,"Compact SUV, Luxury features, Stylish design"
Land Rover,Land Rover Discovery,Land Rover Discovery,2025,₹1.34 - 1.47 Cr,Diesel,2997,SUV,5,Not specified,296.36 bhp,Not specified,12.37 kmpl,5 Star,"Spacious interior, Luxury features, Off-road capability"
Land Rover,Land Rover Discovery Sport,Land Rover Discovery Sport,2025,₹67.90 Lakh,Diesel/Petrol,1999,SUV,7,Not specified,247 bhp,Not specified,Not specified,Not specified,"Family SUV, Spacious seating, Luxury features"
Force,Urbania,Urbania,2025,₹30.51 - 37.21 Lakh,Diesel,2596,Minivan,10,Manual,114 bhp,11 Nm,11 kmpl,N/A,"Comfortable seating for 8-10 people, Decent mileage, Reclining seats, Sufficient power for family trips"
Force,Gurkha,Gurkha,2025,₹16.75 Lakh,Diesel,2596,SUV,4,Manual,138 bhp,N/A,9.5 kmpl,N/A,"Off-road capabilities, Powerful engine, Rugged design, Good for bad roads"
Force,Gurkha 5 Door,Gurkha 5 Door,2025,₹18 Lakh,Diesel,2596,SUV,7,Manual,138.08 bhp,N/A,9.5 kmpl,N/A,"Off-road capabilities, Spacious seating, Rugged design, Good for family trips"
Lamborghini,Urus,Urus,2025,₹4.18 - 4.57 Cr,Petrol,3999,SUV,5,Automatic,657.1 bhp,850 Nm,5.5 kmpl,4 Star,"Luxury interior, Advanced infotainment system, All-wheel drive, Adaptive air suspension"
Lamborghini,Revuelto,Revuelto,2025,₹8.89 Cr,Petrol,6498,Coupe,2,Automatic,1001.11 bhp,N/A,N/A,N/A,"High-performance hybrid engine, Aerodynamic design, Advanced safety features"
Lamborghini,Temerario,Temerario,2025,₹6 Cr,Petrol,3995,Coupe,2,Automatic,907 bhp,N/A,N/A,N/A,"Plug-in hybrid technology, Luxury interior, High-speed performance"
Lamborghini,Huracan EVO,Huracan EVO,2025,₹4 - 4.99 Cr,Petrol,5204,Coupe,2,Automatic,630.3 bhp,N/A,5.9 kmpl,N/A,"Dynamic steering, Advanced aerodynamics, Luxury interior"
Mclaren,GT,GT,2025,₹4.50 Cr,Petrol,3994,Coupe,2,Not specified,Not specified,Not specified,5.1 kmpl,Not specified,"Luxury interior, High performance, Advanced technology"
Mclaren,750S,750S,2025,₹5.91 Cr,Petrol,3994,Coupe,2,Not specified,740 bhp,Not specified,6.1 kmpl,Not specified,"High performance, Aerodynamic design, Luxury interior"
Maserati,Levante,Levante,2025,₹1.49 - 1.64 Cr,Diesel/Petrol,2987,SUV,5,N/A,350 bhp,N/A,12 kmpl,N/A,"Luxury interior, Advanced infotainment system, All-wheel drive, Multiple driving modes"
Maserati,Ghibli,Ghibli,2025,₹1.15 - 1.93 Cr,Petrol,3799,Sedan,5,N/A,572.06 bhp,N/A,6 kmpl,N/A,"Luxury interior, High-performance engine, Advanced safety features, Infotainment system"
Maserati,Grecale,Grecale,2025,₹1.31 - 2.05 Cr,Petrol,3000,SUV,5,N/A,523 bhp,N/A,9.2 kmpl,N/A,"Sporty design, Advanced technology, Comfortable seating, High performance"
Maserati,GranTurismo,GranTurismo,2025,₹2.25 - 2.51 Cr,Diesel/Petrol,4691,Coupe,4,N/A,460 bhp,N/A,10 kmpl,N/A,"Luxury coupe design, High-performance engine, Advanced safety features, Premium interior"
Maserati,Quattroporte,Quattroporte,2025,₹1.71 - 1.86 Cr,Diesel/Petrol,2999,Sedan,5,N/A,430 bhp,N/A,11.76 kmpl,5 Star,"Luxury sedan design, Advanced technology, Comfortable seating, High performance"
Maserati,GranCabrio,GranCabrio,2025,₹2.46 - 2.69 Cr,Diesel/Petrol,4691,Convertible,4,N/A,460 bhp,N/A,10.2 kmpl,N/A,"Luxury convertible design, High-performance engine, Advanced safety features, Premium interior"
PMV,EaS E,EaS E,2025,₹4.79 Lakh,Electric,10000,Hatchback,2,Automatic,13.41 bhp,N/A,N/A,4 Star,"Electric vehicle, Compact design, Affordable pricing, Good safety rating, Suitable for urban commuting"
Mini,Cooper 3 DOOR,Cooper 3 DOOR,2025,₹42.70 Lakh,Petrol,1998,Hatchback,5,Automatic,189.08 bhp,320 Nm,17.33 kmpl,4 Star,"5 Seats, 17.33 kmpl, 1998 cc, 189.08 bhp, 4 Star Safety"
Mini,Cooper S,Cooper S,2025,₹44.90 - 55.90 Lakh,Petrol,1998,Hatchback,5,Automatic,201 bhp,280 Nm,15 kmpl,5 Star,"5 Seats, 15 kmpl, 1998 cc, 201 bhp, 5 Star Safety"
Mini,Cooper Countryman,Cooper Countryman,2025,₹48.10 - 49 Lakh,Petrol,1998,SUV,5,Automatic,189.08 bhp,320 Nm,14.34 kmpl,4 Star,"5 Seats, 14.34 kmpl, 1998 cc, 189.08 bhp, 4 Star Safety"
Mini,Cooper SE,Cooper SE,2025,₹53.50 Lakh,Electric,0,Hatchback,4,Automatic,181.03 bhp,270 Nm,N/A,4 Star,"4 Seats, 270 km, 32.6 kWh, 181.03 bhp, 4 Star Safety"
Mini,Countryman Electric,Countryman Electric,2025,₹54.90 Lakh,Electric,0,SUV,5,Automatic,313 bhp,400 Nm,N/A,N/A,"5 Seats, 462 km, 66.4 kWh, 313 bhp, N/A"
Porsche,911,911,2025,₹2.11 - 4.06 Cr,Petrol,3996,Coupe,4,Automatic,641,N/A,10.64,N/A,Facelift
Porsche,Cayenne,Cayenne,2025,₹1.49 - 2.08 Cr,Petrol,2894,SUV,4,Automatic,348.66,N/A,10.8,N/A,Facelift
Porsche,Macan,Macan,2025,₹96.05 Lakh,Petrol,1984,SUV,5,Automatic,261.49,N/A,6.1,N/A,Facelift
Porsche,Taycan,Taycan,2025,₹1.70 - 2.69 Cr,Electric,93400,Sedan,5,Automatic,872,N/A,N/A,N/A,705 km range
Porsche,Panamera,Panamera,2025,₹1.80 - 2.47 Cr,Petrol,3996,Sedan,4,Automatic,670.51,N/A,20,N/A,Facelift
Porsche,Macan EV,Macan EV,2025,₹1.22 - 1.69 Cr,Electric,100000,SUV,5,Automatic,608,N/A,N/A,N/A,624 km range
Porsche,Cayenne Coupe,Cayenne Coupe,2025,₹1.55 - 2.09 Cr,Petrol,3996,Coupe,4,Automatic,493,N/A,8,N/A,Facelift
Strom Motors,R3,R3,2025,₹4.50 Lakh,Electric,30,Hatchback,2,Automatic,20.11 bhp,N/A,N/A,N/A,"Eco-friendly solution, Smart urban mobility, Compact design, Air Conditioner"
Vayve Mobility,Eva,Nova,2025,₹3.25 Lakh,Electric,18,Hatchback,3,Automatic,20.11 bhp,N/A,N/A,N/A,"Smart Connectivity, Keyless Entry (available in mid and top variants), Halogen Headlights (base variant)"
Vayve Mobility,Eva,Stella,2025,₹3.25 - 4.49 Lakh,Electric,18,Hatchback,3,Automatic,20.11 bhp,N/A,N/A,N/A,"Smart Connectivity, Keyless Entry (available in mid and top variants), Halogen Headlights (base variant)"
Vayve Mobility,Eva,Vega,2025,₹3.25 - 4.49 Lakh,Electric,18,Hatchback,3,Automatic,20.11 bhp,N/A,N/A,N/A,"Smart Connectivity, Keyless Entry (available in mid and top variants), Halogen Headlights (base variant)"
Volvo,XC90,XC90,2025,₹1.04 Cr,Petrol,1969,SUV,7,Automatic,247 bhp,400 Nm,12.35 kmpl,5 Star,"Advanced safety features, Mild-hybrid powertrain, Luxurious interior, Spacious seating"
Volvo,XC60,XC60,2025,₹70.75 Lakh,Petrol,1969,SUV,5,Automatic,250 bhp,400 Nm,11.2 kmpl,5 Star,"5 Star Safety Rating, Luxurious interior, Advanced safety features, Powerful engine"
Volvo,EC40,EC40,2025,₹59 Lakh,Electric,0,SUV,5,Automatic,402.3 bhp,660 Nm,N/A,N/A,"Electric powertrain, 530 km range, Advanced safety features, Luxurious interior"
Volvo,EX40,EX40,2025,₹49 - 57.90 Lakh,Electric,0,SUV,5,Automatic,408 bhp,660 Nm,N/A,N/A,"Electric powertrain, 592 km range, Advanced safety features, Luxurious interior"
Bajaj,Qute,Bajaj Qute,2025,₹3.61 Lakh,CNG,216,Hatchback,4,Manual,10.83 bhp,10.83 bhp,N/A,1 Star,"Compact design for urban use, Affordable pricing, CNG fuel type, Suitable for personal and commercial use"
Aston Martin,Vantage,Vantage,2025,₹3.99 Cr,Petrol,3998,Coupe,2,Automatic,656 bhp,800 Nm,7 kmpl,N/A,"Luxury interior, Advanced infotainment system, High-performance engine"
Aston Martin,DB12,DB12,2025,₹4.59 Cr,Petrol,3982,Coupe,2,Automatic,670.69 bhp,N/A,10 kmpl,N/A,"Luxurious design, Powerful V8 engine, Cutting-edge technology"
Aston Martin,DBX,DBX,2025,₹3.82 - 4.63 Cr,Petrol,3982,SUV,5,Automatic,697 bhp,N/A,8 kmpl,N/A,"Spacious interior, All-terrain capability, Advanced safety features"
Aston Martin,Vanquish,Vanquish,2025,₹8.85 Cr,Petrol,5203,Coupe,2,Automatic,824 bhp,N/A,N/A,N/A,"High-performance V12 engine, Luxurious craftsmanship, Exceptional handling"
Citroen,C3,C3,2025,₹6.23 - 10.21 Lakh,Petrol/CNG,1199,Hatchback,5,Manual/Automatic,108.62,N/A,19.3,N/A,"Hatchback, 5 Seats, Manual/Automatic Transmission, Petrol/CNG Fuel Type, 19.3 kmpl Mileage"
Citroen,Basalt,Basalt,2025,₹8.32 - 14.10 Lakh,Petrol,1199,Hatchback,5,Manual/Automatic,109,N/A,19.5,N/A,"Hatchback, 5 Seats, Manual/Automatic Transmission, Petrol Fuel Type, 19.5 kmpl Mileage"
Citroen,Aircross,Aircross,2025,₹8.62 - 14.60 Lakh,Petrol,1199,SUV,5,Manual/Automatic,108.62,N/A,18.5,N/A,"SUV, 5, 7 Seats, Manual/Automatic Transmission, Petrol Fuel Type, 18.5 kmpl Mileage"
Citroen,C5 Aircross,C5 Aircross,2025,₹39.99 Lakh,Diesel,1997,SUV,5,Automatic,174.33,N/A,17.5,N/A,"SUV, 5 Seats, Automatic Transmission, Diesel Fuel Type, 17.5 kmpl Mileage"
Citroen,eC3,eC3,2025,₹12.90 - 13.41 Lakh,Electric,320,Hatchback,5,Automatic,56.21,N/A,N/A,N/A,"Hatchback, 5 Seats, Automatic Transmission, Electric Fuel Type, 320 km Range"
Volkswagen,Virtus,Virtus,2025,₹11.56 - 19.40 Lakh,Petrol,1498,Sedan,5,Manual/Automatic,147.51 bhp,250 Nm,20.8 kmpl,5 Star,"5 Star Safety Rating, 20.8 kmpl Mileage, 1498 cc Engine, 147.51 bhp Power"
Volkswagen,Taigun,Taigun,2025,₹11.80 - 19.83 Lakh,Petrol,1498,SUV,5,Manual/Automatic,147.94 bhp,250 Nm,19.87 kmpl,5 Star,"5 Star Safety Rating, 19.87 kmpl Mileage, 1498 cc Engine, 147.94 bhp Power"
Volkswagen,Golf GTI,Golf GTI,2025,₹53 Lakh,Petrol,1984,Hatchback,5,Automatic,261 bhp,370 Nm,N/A,N/A,"261 bhp Power, 1984 cc Engine, 5 Seats"
Volkswagen,Tiguan R-Line,Tiguan R-Line,2025,₹49 Lakh,Petrol,1984,SUV,5,Automatic,201 bhp,320 Nm,12.58 kmpl,N/A,"201 bhp Power, 1984 cc Engine, 12.58 kmpl Mileage, 5 Seats"
Nissan,Magnite,Magnite,2025,₹6.14 - 11.76 Lakh,Petrol/CNG,999,SUV,5,Manual/Automatic,99 bhp,99 Nm,19.9 kmpl,5 Star,"Nissan Connect feature, 360-degree camera, Wireless Apple CarPlay/Android Auto, Digital instrument cluster, LED headlamps, Push button start, Wireless charging"
Nissan,X-Trail,X-Trail,2025,₹49.92 Lakh,Petrol,1498,SUV,7,Automatic,161 bhp,N/A,10 kmpl,N/A,"Leather seats, 360-degree camera, Advanced safety features, Comfortable interior, High power output"
Jeep,Compass,Base,2025,₹18.99 - 32.41 Lakh,Diesel/Petrol,1956,SUV,5,Manual/Automatic,168 bhp,350 Nm,17.1,5 Star,"5-seater, Off-road capabilities, Advanced safety features"
Jeep,Meridian,Base,2025,₹24.99 - 38.79 Lakh,Diesel/Petrol,1956,SUV,5,Manual/Automatic,168 bhp,350 Nm,14.1,5 Star,"5-seater, Advanced safety features, Comfortable interior"
Jeep,Wrangler,Base,2025,₹67.65 - 71.65 Lakh,Petrol,1995,SUV,5,Automatic,268.2 bhp,400 Nm,11.4,5 Star,"5-seater, Off-road capabilities, Luxury interior"
Jeep,Grand Cherokee,Base,2025,₹67.50 - 69.04 Lakh,Petrol,1995,SUV,5,Automatic,268.27 bhp,400 Nm,7.2,5 Star,"5-seater, Luxury features, Advanced safety features"
Renault,Triber,Authentic,2025,₹6.30 Lakh - ₹9.40 Lakh,Petrol,999,MUV,7,Manual/Automatic,71.01 bhp,N/A,20 kmpl,N/A,"7 Seats, Petrol, 20 kmpl, Manual/Automatic, 999 cc, 71.01 bhp"
Renault,KWID,N/A,2025,₹4.70 Lakh - ₹6.45 Lakh,Petrol/CNG,999,Hatchback,5,Manual/Automatic,67.06 bhp,N/A,22.3 kmpl,1 Star,"5 Seats, Petrol/CNG, 22.3 kmpl, Manual/Automatic, 999 cc, 67.06 bhp"
Renault,Kiger,N/A,2025,₹6.15 Lakh - ₹11.23 Lakh,Petrol/CNG,999,SUV,5,Manual/Automatic,98.63 bhp,N/A,20.5 kmpl,4 Star,"5 Seats, Petrol/CNG, 20.5 kmpl, Manual/Automatic, 999 cc, 98.63 bhp"
Skoda,Kylaq,Base,2025,₹8.25 - 13.99 Lakh,Petrol,999,SUV,5,Manual/Automatic,114,N/A,19.68,N/A,"5 Seats, Manual/Automatic Transmission, 19.68 kmpl Mileage"
Skoda,Slavia,Base,2025,₹10.49 - 18.33 Lakh,Petrol,1498,Sedan,5,Manual/Automatic,147.51,N/A,20.32,5 Star,"5 Seats, Manual/Automatic Transmission, 20.32 kmpl Mileage, 5 Star Safety Rating"
Skoda,Kushaq,Base,2025,₹10.99 - 19.09 Lakh,Petrol,1498,SUV,5,Manual/Automatic,147.51,N/A,19.76,5 Star,"5 Seats, Manual/Automatic Transmission, 19.76 kmpl Mileage, 5 Star Safety Rating"
Skoda,Kodiaq,Base,2025,₹46.89 - 48.69 Lakh,Petrol,1984,SUV,7,Automatic,201,N/A,14.86,N/A,"7 Seats, Automatic Transmission, 14.86 kmpl Mileage"
Hyundai,Creta,Creta,2025,₹11.11 - 20.50 Lakh,Diesel/Petrol,1497,SUV,5,Manual/Automatic,157.57 bhp,157.57 Nm,21.8 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Venue,Venue,2025,₹7.94 - 13.62 Lakh,Diesel/Petrol,1493,SUV,5,Manual/Automatic,118 bhp,118 Nm,24.2 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Verna,Verna,2025,₹11.07 - 17.58 Lakh,Petrol,1497,Sedan,5,Manual/Automatic,157.57 bhp,157.57 Nm,20.6 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,i20,i20,2025,₹7.51 - 11.25 Lakh,Petrol,1197,Hatchback,5,Manual/Automatic,87 bhp,87 Nm,20 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Exter,Exter,2025,₹6 - 10.51 Lakh,Petrol/CNG,1197,Hatchback,5,Manual/Automatic,81.8 bhp,81.8 Nm,19.4 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Aura,Aura,2025,₹6.54 - 9.11 Lakh,Petrol/CNG,1197,Sedan,5,Manual/Automatic,82 bhp,82 Nm,17 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Alcazar,Alcazar,2025,₹14.99 - 21.74 Lakh,Diesel/Petrol,1493,SUV,6,Manual/Automatic,158 bhp,158 Nm,20.4 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Tucson,Tucson,2025,₹29.27 - 36.04 Lakh,Diesel/Petrol,1999,SUV,5,Automatic,183.72 bhp,183.72 Nm,18 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Creta Electric,Creta Electric,2025,₹17.99 - 24.38 Lakh,Electric,0,SUV,5,Automatic,169 bhp,None,None,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Creta N Line,Creta N Line,2025,₹16.93 - 20.64 Lakh,Petrol,1482,SUV,5,Manual/Automatic,158 bhp,158 Nm,18.2 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Venue N Line,Venue N Line,2025,₹12.15 - 14 Lakh,Petrol,998,SUV,5,Manual/Automatic,118.41 bhp,118.41 Nm,18 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,Grand i10 Nios,Grand i10 Nios,2025,₹5.98 - 8.62 Lakh,Petrol/CNG,1197,Hatchback,5,Manual/Automatic,82 bhp,82 Nm,18 kmpl,4 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,i20 N-Line,i20 N-Line,2025,₹9.99 - 12.56 Lakh,Petrol,998,Hatchback,5,Manual/Automatic,118 bhp,118 Nm,20 kmpl,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Hyundai,IONIQ 5,IONIQ 5,2025,₹46.05 Lakh,Electric,0,SUV,5,Automatic,214.56 bhp,None,None,5 Star,"Sunroof, Touchscreen Infotainment, Cruise Control, ABS with EBD, Airbags"
Tata,Nexon,Nexon,2025,₹8 - 15.60 Lakh,Diesel/Petrol/CNG,1497,SUV,5,Manual/Automatic,118.27 bhp,118.27 Nm,24.08 kmpl,5 Star,"Diesel/Petrol/CNG, 24.08 kmpl, Manual/Automatic, 1497 cc, 118.27 bhp, 5 Star Safety"
Tata,Punch,Punch,2025,₹6 - 10.32 Lakh,Petrol/CNG,1199,SUV,5,Manual/Automatic,87 bhp,87 Nm,20.09 kmpl,5 Star,"Petrol/CNG, 20.09 kmpl, Manual/Automatic, 1199 cc, 87 bhp, 5 Star Safety"
Tata,Altroz,Altroz,2025,₹6.89 - 11.49 Lakh,Diesel/Petrol/CNG,1497,Hatchback,5,Manual/Automatic,88.76 bhp,88.76 Nm,N/A,5 Star,"Diesel/Petrol/CNG, Manual/Automatic, 1497 cc, 88.76 bhp, 5 Seats"
Tata,Curvv,Curvv,2025,₹10 - 19.52 Lakh,Diesel/Petrol,1497,SUV,5,Manual/Automatic,123 bhp,N/A,12 kmpl,5 Star,"Diesel/Petrol, 12 kmpl, Manual/Automatic, 1497 cc, 123 bhp, 5 Star Safety"
Tata,Harrier,Harrier,2025,₹15 - 26.50 Lakh,Diesel,1956,SUV,5,Manual/Automatic,167.62 bhp,N/A,16.8 kmpl,5 Star,"Diesel, 16.8 kmpl, Manual/Automatic, 1956 cc, 167.62 bhp, 5 Star Safety"
Tata,Tiago,Tiago,2025,₹5 - 8.55 Lakh,Petrol/CNG,1199,Hatchback,5,Manual/Automatic,84.82 bhp,84.82 Nm,19.01 kmpl,4 Star,"Petrol/CNG, 19.01 kmpl, Manual/Automatic, 1199 cc, 84.82 bhp, 4 Star Safety"
Tata,Harrier EV,Harrier EV,2025,₹21.49 - 30.23 Lakh,Electric,0,SUV,5,Automatic,390 bhp,N/A,N/A,6 Airbags,"Electric, Automatic, 627 km, 75 kWh, 390 bhp, 6 Airbags, 5 Seats"
Tata,Safari,Safari,2025,₹15.50 - 27.25 Lakh,Diesel,1956,SUV,5,Manual/Automatic,167.62 bhp,N/A,16.3 kmpl,5 Star,"Diesel, 16.3 kmpl, Manual/Automatic, 1956 cc, 167.62 bhp, 5 Star Safety"
Tata,Nexon EV,Nexon EV,2025,₹12.49 - 17.19 Lakh,Electric,0,SUV,5,Automatic,142 bhp,N/A,N/A,6 Airbags,"Electric, Automatic, 489 km, 46.08 kWh, 142 bhp, 6 Airbags, 5 Star Safety"
Tata,Punch EV,Punch EV,2025,₹9.99 - 14.44 Lakh,Electric,0,SUV,5,Automatic,120.69 bhp,N/A,N/A,6 Airbags,"Electric, Automatic, 421 km, 35 kWh, 120.69 bhp, 6 Airbags, 5 Star Safety"
Tata,Tiago EV,Tiago EV,2025,₹7.99 - 11.14 Lakh,Electric,0,Hatchback,5,Automatic,73.75 bhp,N/A,N/A,2 Airbags,"Electric, Automatic, 315 km, 24 kWh, 73.75 bhp, 2 Airbags, 4 Star Safety"
Tata,Tigor,Tigor,2025,₹6 - 9.50 Lakh,Petrol/CNG,1199,Sedan,5,Manual,84.48 bhp,84.48 Nm,19.28 kmpl,3 Star,"Petrol/CNG, 19.28 kmpl, Manual, 1199 cc, 84.48 bhp, 3 Star Safety"
